Lead_ID,Lead_Name,Company_Name,Source,Region_ID,Rep_ID,Created_Date,Current_Stage,Email,Phone,Priority,Last_Updated,Deal_Source,Company_ID,Engagement_Level,Follow_Up_Threshold,Project_Term,Budget_Tier,Country,Company_Industry,Service_Category,Deal_Status_Category
LDUBR-NA-001,Uber Lead,Uber,Display Ads,NA,BJ_NA,2024-05-21 00:58:35,Ongoing - Lead Captured,contact_83@uber.com,-7766133488,Low,2024-06-27 5:45:55,Outbound,CMP_U,High,7,>24 months,100L+,USA,Finance,Data,Ongoing - Cold
LDWMT-NA-002,Walmart Lead,Walmart,Facebook Ads,NA,AS_NA,2025-07-14 09:46:38,Deal Won,contact_30@walmart.com,-8922434050,Low,2025-08-01 9:26:08,Outbound,CMP_W,Low,7,>24 months,100L+,USA,Technology,Data,Deal Won
LDFRD-NA-003,Ford Motor Co Lead,Ford Motor Co,Facebook Ads,NA,AS_NA,2024-09-06 05:29:15,Deal Lost,contact_10@fordmotorco.com,-3281383690,Medium,2024-10-01 19:43:15,Outbound,CMP_FMC,High,10,>24 months,50-100L,USA,Technology,Marketing,Deal Lost
LDAMZ-NA-004,Amazon Lead,Amazon,Lists,NA,CL_NA,2025-06-13 04:45:41,Ongoing - Contacted,contact_80@amazon.com,-2365245085,Low,2025-07-17 21:36:41,Outbound,CMP_A,Medium,5,12-24 months,50-100L,USA,Finance,Cloud,Ongoing - Cold
LDMST-NA-005,Microsoft Lead,Microsoft,Cold Email Campaigns,NA,CL_NA,2024-06-03 01:03:14,Deal Lost,contact_17@microsoft.com,-3897942695,Low,2024-06-20 19:00:42,Outbound,CMP_M,Medium,5,0-6 months,50-100L,USA,Retail,Cloud,Deal Lost
LDTGT-NA-006,Target Lead,Target,LinkedIn,NA,BJ_NA,2025-06-12 18:38:41,Deal Lost,contact_97@target.com,-8972129060,High,2025-06-30 8:03:42,Inbound,CMP_T,Medium,10,0-6 months,20-50L,USA,Retail,Data,Deal Lost
LDUBE-NA-007,Uber Eats Lead,Uber Eats,Contact UsDemo Request,NA,BJ_NA,2024-07-07 15:54:12,Deal Won,contact_30@ubereats.com,-6534558774,Low,2024-08-28 22:06:50,Inbound,CMP_UE,Medium,5,>24 months,50-100L,USA,Finance,Marketing,Deal Won
LDCVS-NA-008,CVS Health Lead,CVS Health,Telemarketing,NA,DK_NA,2024-10-24 16:44:35,Deal Lost,contact_89@cvshealth.com,-6253257485,Medium,2024-11-21 6:40:25,Outbound,CMP_CH,Low,3,>24 months,50-100L,USA,Retail,Marketing,Deal Lost
LDMCK-NA-009,McKesson Lead,McKesson,Lists,NA,CL_NA,2024-06-22 06:26:28,Ongoing - Contacted,contact_35@mckesson.com,-778696826,High,2024-08-20 21:41:29,Outbound,CMP_M,Medium,7,12-24 months,20-50L,USA,Finance,Cloud,Ongoing - Cold
LDTDB-NA-010,TD Bank Group Lead,TD Bank Group,LinkedIn,NA,BJ_NA,2024-01-11 19:31:06,Ongoing - Responded,contact_44@tdbankgroup.com,-6627343279,Low,2024-01-17 17:04:38,Inbound,CMP_TBG,Medium,10,6-12 months,50-100L,Canada,Technology,Data,Ongoing - Cold
