Rep_ID,Rep_Name,Email,Phone,Region_ID,Join_Date,Current_Status,Performance_Rating,Total_Deals_Closed,Avg_conversion_time,Win_rate
BJ_NA,Bob Johnson,bj_na@crmcorp.com,-9935835971,NA,2021-09-25,Active,1.5,280,16.0,0.65
AS_NA,Alice Smith,as_na@crmcorp.com,-9670659785,NA,2021-09-10,Inactive,1.6,476,6.86,0.75
CL_NA,Charlie Lee,cl_na@crmcorp.com,-9526420145,NA,2021-05-14,Active,4.3,71,17.78,0.76
DK_NA,Diana King,dk_na@crmcorp.com,-9200760911,NA,2020-06-24,Active,1.2,12,25.54,0.36
EB_EU,Edward Brown,eb_eu@crmcorp.com,-9366900813,EU,2022-04-09,Inactive,1.9,213,14.42,0.73
HB_EU,Hannah Black,hb_eu@crmcorp.com,-9539147317,EU,2021-11-02,Inactive,1.5,123,15.22,0.26
FG_EU,Fiona Green,fg_eu@crmcorp.com,-9455197836,EU,2020-09-07,Inactive,4.7,340,18.72,0.43
GW_EU,George White,gw_eu@crmcorp.com,-9972351783,EU,2022-05-16,Inactive,2.9,405,12.75,0.36
JL_APAC,Jill Lewis,jl_apac@crmcorp.com,-9510464254,APAC,2020-01-23,Active,2.0,258,18.39,0.16
LS_APAC,Laura Scott,ls_apac@crmcorp.com,-9994157812,APAC,2020-06-10,On Leave,4.5,286,19.23,0.61
MT_APAC,Mike Turner,mt_apac@crmcorp.com,-9665871360,APAC,2020-01-25,Inactive,2.8,52,20.39,0.86
IG_APAC,Ian Gray,ig_apac@crmcorp.com,-9578887612,APAC,2022-04-27,Active,1.3,38,17.09,0.68
KM_APAC,Kevin Martin,km_apac@crmcorp.com,-9380270830,APAC,2020-01-04,Inactive,4.7,226,19.79,0.31
NA_ME,Nina Adams,na_me@crmcorp.com,-9772130341,ME,2020-02-29,Inactive,3.0,423,13.43,0.39
RA_LA,Rachel Allen,ra_la@crmcorp.com,-9446367956,LA,2020-10-12,Inactive,4.0,29,27.12,0.8
QH_LA,Quinn Hall,qh_la@crmcorp.com,-9556258422,LA,2020-11-14,Inactive,2.3,146,20.68,0.18
PY_LA,Paula Young,py_la@crmcorp.com,-9550802737,LA,2021-10-12,On Leave,1.8,260,15.18,0.86
SW_AF,Steve Wright,sw_af@crmcorp.com,-9286688383,AF,2022-09-27,On Leave,1.2,319,7.92,0.48
TB_AF,Tina Baker,tb_af@crmcorp.com,-9506457136,AF,2022-05-17,On Leave,2.7,8,18.91,0.79
OC_ME,Oscar Clark,oc_me@crmcorp.com,-9621279704,ME,2021-05-29,Inactive,1.9,215,18.03,0.76
